,1,2,3,4,5,6,7,Total
BUTON UTARA,0.949153,0.000000,0.000000,0.016949,0.000000,0.033898,0.000000,59
CIAMIS,0.988669,0.000000,0.002833,0.008499,0.000000,0.000000,0.000000,353
CIANJUR,0.977778,0.000000,0.005556,0.005556,0.000000,0.008333,0.002778,360
CILACAP,0.975352,0.000000,0.000000,0.021127,0.000000,0.000000,0.003521,284
CILEGON,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,43
CIMAHI,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,15
CIREBON,0.941704,0.000000,0.031390,0.020179,0.000000,0.006726,0.000000,446
D U M A I,0.939394,0.000000,0.030303,0.030303,0.000000,0.000000,0.000000,33
DAIRI,0.905325,0.000000,0.029586,0.041420,0.000000,0.023669,0.000000,169
DEIYAI,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,30
DELI SERDANG,0.550129,0.012853,0.015424,0.164524,0.000000,0.213368,0.043702,389
DEMAK,0.931727,0.008032,0.000000,0.028112,0.000000,0.032129,0.000000,249
DENPASAR,0.953488,0.000000,0.000000,0.023256,0.023256,0.000000,0.000000,43
DEPOK,0.904762,0.000000,0.000000,0.031746,0.031746,0.031746,0.000000,63
DOGIYAI,0.987342,0.012658,0.000000,0.000000,0.000000,0.000000,0.000000,79
DOMPU,0.987342,0.000000,0.000000,0.012658,0.000000,0.000000,0.000000,79
DONGGALA,0.986667,0.000000,0.006667,0.006667,0.000000,0.000000,0.000000,150
EMPAT LAWANG,0.993590,0.000000,0.000000,0.000000,0.000000,0.006410,0.000000,156
ENDE,0.985981,0.000000,0.000000,0.009346,0.000000,0.004673,0.000000,214
ENREKANG,0.961240,0.015504,0.000000,0.023256,0.000000,0.000000,0.000000,129
FAKFAK,0.967742,0.000000,0.016129,0.016129,0.000000,0.000000,0.000000,124
FLORES TIMUR,0.776000,0.028000,0.004000,0.060000,0.004000,0.128000,0.000000,250
GARUT,0.967517,0.000000,0.009281,0.011601,0.000000,0.011601,0.000000,431
GAYO LUES,0.923611,0.000000,0.062500,0.006944,0.000000,0.006944,0.000000,144
GIANYAR,0.985714,0.000000,0.000000,0.000000,0.000000,0.014286,0.000000,70
GORONTALO,0.988235,0.000000,0.000000,0.011765,0.000000,0.000000,0.000000,255
GORONTALO UTARA,0.991870,0.000000,0.000000,0.000000,0.000000,0.008130,0.000000,123
GOWA,0.964072,0.000000,0.011976,0.023952,0.000000,0.000000,0.000000,167
GRESIK,0.946629,0.000000,0.005618,0.014045,0.002809,0.028090,0.002809,356
GROBOGAN,0.996429,0.000000,0.000000,0.003571,0.000000,0.000000,0.000000,280
GUNUNG KIDUL,0.979167,0.000000,0.000000,0.013889,0.000000,0.000000,0.006944,144
GUNUNG MAS,0.960000,0.000000,0.008000,0.032000,0.000000,0.000000,0.000000,125
GUNUNGSITOLI,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,101
HALMAHERA BARAT,0.380952,0.000000,0.081633,0.170068,0.000000,0.340136,0.027211,147
HALMAHERA SELATAN,0.648438,0.226563,0.003906,0.054688,0.000000,0.039063,0.027344,256
HALMAHERA TENGAH,0.750000,0.232143,0.000000,0.000000,0.000000,0.000000,0.017857,56
HALMAHERA TIMUR,0.376623,0.155844,0.000000,0.220779,0.000000,0.155844,0.090909,77
HALMAHERA UTARA,0.847716,0.010152,0.025381,0.025381,0.005076,0.076142,0.010152,197
HULU SUNGAI SELATAN,0.574324,0.013514,0.202703,0.047297,0.000000,0.108108,0.054054,148
HULU SUNGAI TENGAH,0.000000,0.000000,0.053254,0.301775,0.000000,0.544379,0.100592,169
HULU SUNGAI UTARA,0.406393,0.000000,0.132420,0.319635,0.004566,0.118721,0.018265,219
HUMBANG HASUNDUTAN,0.551948,0.000000,0.168831,0.071429,0.000000,0.162338,0.045455,154
INDRAGIRI HILIR,0.677083,0.010417,0.109375,0.072917,0.005208,0.109375,0.015625,192
INDRAGIRI HULU,0.932990,0.005155,0.020619,0.030928,0.000000,0.010309,0.000000,194
