District,School Scoring
SEMARANG,6467
SERAM BAGIAN BARAT,943
SERAM BAGIAN TIMUR,615
SERANG,5092
SERDANG BEDAGAI,2057
SERUYAN,618
SIAU TAGULANDANG BIARO,406
SIBOLGA,231
SIDENRENG RAPPANG,967
SIDOARJO,3940
SIGI,1050
SIJUNJUNG,5
SIKKA,1079
SIMALUNGUN,3161
SIMEULUE,568
SINGKAWANG,546
SINJAI,1103
SINTANG,1346
SITUBONDO,2192
SLEMAN,2607
SOLOK,207
SOPPENG,1012
SORONG,861
SORONG SELATAN,220
SRAGEN,2542
SUBANG,3660
SUBULUSSALAM,363
SUKABUMI,7008
SUKAMARA,200
SUKOHARJO,2237
SUMBA BARAT,368
SUMBA BARAT DAYA,680
SUMBA TENGAH,258
SUMBA TIMUR,787
SUMBAWA,1544
SUMBAWA BARAT,521
SUMEDANG,2580
SUMENEP,5175
SUNGAI PENUH,340
SUPIORI,156
SURABAYA,5297
SURAKARTA,1665
TABALONG,1092
TABANAN,1176
TAKALAR,972
TAMBRAUW,60
TANA TIDUNG,94
TANA TORAJA,1034
TANAH BUMBU,929
TANAH LAUT,1041
TANGERANG,9301
TANGERANG SELATAN,2369
TANGGAMUS,1655
TANJUNG BALAI,449
TANJUNG JABUNG BARAT,1052
TANJUNG JABUNG TIMUR,961
TANJUNG PINANG,417
TAPANULI SELATAN,971
TAPANULI TENGAH,1248
TAPANULI UTARA,1268
TAPIN,660
TARAKAN,355
TASIKMALAYA,7114
TEBING TINGGI,493
TEBO,1144
TEGAL,3743
TELUK BINTUNI,340
TELUK WONDAMA,131
TEMANGGUNG,2189
TERNATE,545
TIDORE KEPULAUAN,570
TIMOR TENGAH SELATAN,1883
TIMOR TENGAH UTARA,910
TOBA SAMOSIR,798
TOJO UNA-UNA,716
TOLIKARA,196
TOLI-TOLI,1012
TOMOHON,393
TORAJA UTARA,826
TRENGGALEK,2121
TUAL,246
TUBAN,3073
TULANG BAWANG BARAT,874
TULANGBAWANG,1171
TULUNGAGUNG,2772
WAJO,1568
WAKATOBI,605
WAROPEN,142
WAY KANAN,1460
WONOGIRI,2977
WONOSOBO,2237
YAHUKIMO,242
YALIMO,78
YOGYAKARTA,1457
