District,School Scoring,,
PARIAMAN,355.000000,2.000000,
PARIGI MOUTONG,1681.000000,8.000000,
PASER,1000.000000,6.000000,
PASURUAN,5052.000000,10.000000,
PATI,3582.000000,9.000000,
PAYAKUMBUH,419.000000,2.000000,
PEGUNUNGAN BINTANG,122.000000,1.000000,
PEKALONGAN,2998.000000,9.000000,
PEKANBARU,1578.000000,7.000000,
PELALAWAN,941.000000,5.000000,
PEMALANG,2805.000000,9.000000,
PEMATANG SIANTAR,938.000000,5.000000,
PENAJAM PASER UTARA,457.000000,2.000000,
PESAWARAN,1377.000000,7.000000,
PIDIE,1305.000000,7.000000,
PIDIE JAYA,464.000000,3.000000,
PINRANG,1261.000000,7.000000,
POHUWATO,601.000000,3.000000,
POLEWALI MANDAR,1450.000000,7.000000,
PONOROGO,2992.000000,9.000000,
PONTIANAK,2101.000000,8.000000,
POSO,1035.000000,6.000000,
PRABUMULIH,412.000000,2.000000,
PRINGSEWU,1265.000000,7.000000,
PROBOLINGGO,5286.000000,10.000000,
PULANG PISAU,767.000000,4.000000,
PULAU MOROTAI,283.000000,1.000000,
PUNCAK,66.000000,1.000000,
PUNCAK JAYA,101.000000,1.000000,
PURBALINGGA,2360.000000,9.000000,
PURWAKARTA,1983.000000,8.000000,
PURWOREJO,2301.000000,9.000000,
RAJA AMPAT,339.000000,1.000000,
REJANG LEBONG,767.000000,4.000000,
REMBANG,1750.000000,8.000000,
ROKAN HILIR,2047.000000,8.000000,
ROKAN HULU,1524.000000,7.000000,
ROTE NDAO,537.000000,3.000000,
S I A K,1165.000000,6.000000,
SABANG,143.000000,1.000000,
SABU RAIJUA,232.000000,1.000000,
SALATIGA,623.000000,4.000000,
SAMARINDA,1511.000000,7.000000,
SAMBAS,1598.000000,7.000000,
SAMOSIR,646.000000,4.000000,
SAMPANG,3637.000000,9.000000,
SANGGAU,1597.000000,7.000000,
SARMI,174.000000,1.000000,
SAROLANGUN,1125.000000,6.000000,
SAWAH LUNTO,250.000000,1.000000,
SEKADAU,734.000000,4.000000,
SELAYAR,693.000000,4.000000,
SELUMA,694.000000,4.000000,
SEMARANG,6467.000000,10.000000,
SERAM BAGIAN BARAT,943.000000,5.000000,
SERAM BAGIAN TIMUR,615.000000,4.000000,
SERANG,5092.000000,10.000000,
SERDANG BEDAGAI,2057.000000,8.000000,
SERUYAN,618.000000,4.000000,
SIAU TAGULANDANG BIARO,406.000000,2.000000,
SIBOLGA,231.000000,1.000000,
SIDENRENG RAPPANG,967.000000,5.000000,
SIDOARJO,3940.000000,10.000000,
SIGI,1050.000000,6.000000,
SIJUNJUNG,5.000000,1.000000,
SIKKA,1079.000000,6.000000,
SIMALUNGUN,3161.000000,9.000000,
SIMEULUE,568.000000,3.000000,
SINGKAWANG,546.000000,3.000000,
SINJAI,1103.000000,6.000000,
SINTANG,1346.000000,7.000000,
SITUBONDO,2192.000000,8.000000,
SLEMAN,2607.000000,9.000000,
SOLOK,207.000000,1.000000,
SOPPENG,1012.000000,6.000000,
SORONG,861.000000,5.000000,
SORONG SELATAN,220.000000,1.000000,
SRAGEN,2542.000000,9.000000,
SUBANG,3660.000000,10.000000,
SUBULUSSALAM,363.000000,2.000000,
SUKABUMI,7008.000000,10.000000,
SUKAMARA,200.000000,1.000000,
SUKOHARJO,2237.000000,8.000000,
SUMBA BARAT,368.000000,2.000000,
SUMBA BARAT DAYA,680.000000,4.000000,
SUMBA TENGAH,258.000000,1.000000,
SUMBA TIMUR,787.000000,4.000000,
SUMBAWA,1544.000000,7.000000,
SUMBAWA BARAT,521.000000,3.000000,
SUMEDANG,2580.000000,9.000000,
SUMENEP,5175.000000,10.000000,
SUNGAI PENUH,340.000000,1.000000,
SUPIORI,156.000000,1.000000,
SURABAYA,5297.000000,10.000000,
SURAKARTA,1665.000000,8.000000,
TABALONG,1092.000000,6.000000,
TABANAN,1176.000000,6.000000,
TAKALAR,972.000000,5.000000,
TAMBRAUW,60.000000,1.000000,
TANA TIDUNG,94.000000,1.000000,
TANA TORAJA,1034.000000,6.000000,
TANAH BUMBU,929.000000,5.000000,
TANAH LAUT,1041.000000,6.000000,
TANGERANG,9301.000000,10.000000,
TANGERANG SELATAN,2369.000000,9.000000,
TANGGAMUS,1655.000000,8.000000,
TANJUNG BALAI,449.000000,2.000000,
TANJUNG JABUNG BARAT,1052.000000,6.000000,
TANJUNG JABUNG TIMUR,961.000000,5.000000,
TANJUNG PINANG,417.000000,2.000000,
TAPANULI SELATAN,971.000000,5.000000,
TAPANULI TENGAH,1248.000000,7.000000,
TAPANULI UTARA,1268.000000,7.000000,
TAPIN,660.000000,4.000000,
TARAKAN,355.000000,2.000000,
TASIKMALAYA,7114.000000,10.000000,
