,1,2,3,4,5,6,7,Total
KLUNGKUNG,0.779661,0.000000,0.016949,0.169492,0.000000,0.016949,0.016949,59
KOLAKA,0.916279,0.027907,0.000000,0.027907,0.000000,0.027907,0.000000,215
KOLAKA UTARA,0.984962,0.000000,0.000000,0.007519,0.000000,0.007519,0.000000,133
KONAWE,0.924574,0.021898,0.004866,0.014599,0.000000,0.029197,0.004866,411
KONAWE SELATAN,0.967123,0.010959,0.005479,0.002740,0.000000,0.010959,0.002740,365
KONAWE UTARA,0.883562,0.041096,0.000000,0.000000,0.000000,0.075342,0.000000,146
KOTA BARU,0.900498,0.019900,0.014925,0.019900,0.000000,0.044776,0.000000,201
KOTAMOBAGU,0.848485,0.000000,0.030303,0.060606,0.000000,0.030303,0.030303,33
KOTAWARINGIN BARAT,0.882979,0.021277,0.000000,0.063830,0.000000,0.031915,0.000000,94
KOTAWARINGIN TIMUR,0.937143,0.011429,0.005714,0.034286,0.000000,0.000000,0.011429,175
KUANTAN SINGINGI,0.952153,0.004785,0.000000,0.043062,0.000000,0.000000,0.000000,209
KUBU RAYA,0.954128,0.000000,0.009174,0.009174,0.000000,0.000000,0.027523,109
KUDUS,0.371212,0.000000,0.575758,0.053030,0.000000,0.000000,0.000000,132
KULON PROGO,0.965909,0.000000,0.022727,0.011364,0.000000,0.000000,0.000000,88
KUNINGAN,0.933511,0.002660,0.005319,0.029255,0.000000,0.023936,0.005319,376
KUPANG,0.807018,0.000000,0.004386,0.039474,0.000000,0.149123,0.000000,228
KUTAI BARAT,0.974790,0.021008,0.000000,0.004202,0.000000,0.000000,0.000000,238
KUTAI KARTANEGARA,0.797357,0.079295,0.013216,0.017621,0.000000,0.061674,0.030837,227
KUTAI TIMUR,0.911111,0.051852,0.000000,0.022222,0.000000,0.007407,0.007407,135
LABUHAN BATU,0.683673,0.000000,0.030612,0.051020,0.000000,0.224490,0.010204,98
LABUHAN BATU SELATAN,0.981481,0.000000,0.018519,0.000000,0.000000,0.000000,0.000000,54
LABUHAN BATU UTARA,0.888889,0.000000,0.000000,0.000000,0.000000,0.111111,0.000000,90
LAHAT,0.941489,0.002660,0.002660,0.015957,0.000000,0.026596,0.010638,376
LAMANDAU,0.987952,0.000000,0.000000,0.012048,0.000000,0.000000,0.000000,83
LAMONGAN,0.964135,0.000000,0.006329,0.014768,0.002110,0.012658,0.000000,474
LAMPUNG BARAT,0.988189,0.000000,0.000000,0.003937,0.000000,0.007874,0.000000,254
LAMPUNG SELATAN,0.936255,0.000000,0.051793,0.003984,0.000000,0.007968,0.000000,251
LAMPUNG TENGAH,0.967427,0.000000,0.013029,0.013029,0.003257,0.003257,0.000000,307
LAMPUNG TIMUR,0.988327,0.000000,0.000000,0.011673,0.000000,0.000000,0.000000,257
LAMPUNG UTARA,0.947368,0.000000,0.000000,0.008097,0.000000,0.040486,0.004049,247
LANDAK,0.980769,0.000000,0.000000,0.006410,0.000000,0.012821,0.000000,156
LANGKAT,0.895307,0.007220,0.000000,0.046931,0.003610,0.028881,0.018051,277
LANGSA,0.575758,0.000000,0.000000,0.106061,0.000000,0.242424,0.075758,66
LANNY JAYA,0.986014,0.013986,0.000000,0.000000,0.000000,0.000000,0.000000,143
LEBAK,0.959420,0.000000,0.002899,0.011594,0.000000,0.026087,0.000000,345
LEBONG,0.954955,0.018018,0.000000,0.027027,0.000000,0.000000,0.000000,111
LEMBATA,0.965278,0.000000,0.000000,0.006944,0.000000,0.027778,0.000000,144
LHOKSEUMAWE,0.514706,0.029412,0.000000,0.058824,0.058824,0.279412,0.058824,68
LINGGA,0.929825,0.000000,0.000000,0.000000,0.000000,0.070175,0.000000,57
LOMBOK BARAT,0.886179,0.000000,0.016260,0.032520,0.008130,0.032520,0.024390,123
LOMBOK TENGAH,0.985612,0.000000,0.000000,0.007194,0.000000,0.007194,0.000000,139
LOMBOK TIMUR,0.934884,0.004651,0.004651,0.041860,0.000000,0.013953,0.000000,215
LOMBOK UTARA,0.969697,0.000000,0.000000,0.000000,0.000000,0.030303,0.000000,33
LUBUKLINGGAU,0.486111,0.013889,0.000000,0.250000,0.000000,0.111111,0.138889,72
LUMAJANG,0.941463,0.000000,0.009756,0.034146,0.000000,0.014634,0.000000,205
LUWU,0.977974,0.000000,0.000000,0.004405,0.000000,0.017621,0.000000,227
LUWU TIMUR,0.892857,0.062500,0.000000,0.026786,0.000000,0.017857,0.000000,112
LUWU UTARA,0.971591,0.000000,0.005682,0.011364,0.000000,0.011364,0.000000,176
MADIUN,0.845494,0.000000,0.004292,0.060086,0.000000,0.085837,0.004292,233
MAGELANG,0.917738,0.000000,0.020566,0.020566,0.000000,0.041131,0.000000,389
MAGETAN,0.914894,0.004255,0.017021,0.034043,0.000000,0.029787,0.000000,235
MAJALENGKA,0.889881,0.005952,0.044643,0.053571,0.000000,0.005952,0.000000,336
MAJENE,0.960526,0.000000,0.000000,0.013158,0.000000,0.026316,0.000000,76
MAKASSAR,0.062937,0.000000,0.020979,0.300699,0.013986,0.580420,0.020979,143
MALANG,0.751678,0.000000,0.082774,0.069351,0.000000,0.082774,0.013423,447
MALINAU,0.981651,0.000000,0.000000,0.018349,0.000000,0.000000,0.000000,109
MALUKU BARAT DAYA,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,117
MALUKU TENGAH,0.965909,0.000000,0.000000,0.005682,0.000000,0.028409,0.000000,176
MALUKU TENGGARA,0.977011,0.011494,0.000000,0.000000,0.000000,0.011494,0.000000,87
