,Community,,Social,,Professional,,Recreational,,Government,,
FLORES TIMUR,59.000000,7.000000,16.000000,8.000000,6.000000,6.000000,42.000000,4.000000,13.000000,5.000000,
GARUT,360.000000,10.000000,32.000000,9.000000,11.000000,8.000000,740.000000,10.000000,100.000000,10.000000,
GAYO LUES,4.000000,2.000000,2.000000,2.000000,2.000000,4.000000,15.000000,2.000000,3.000000,2.000000,
GIANYAR,794.000000,10.000000,2.000000,2.000000,0.000000,1.000000,480.000000,10.000000,37.000000,9.000000,
GORONTALO,60.000000,7.000000,24.000000,9.000000,8.000000,7.000000,194.000000,8.000000,21.000000,7.000000,
GORONTALO UTARA,15.000000,4.000000,1.000000,2.000000,0.000000,1.000000,24.000000,3.000000,1.000000,1.000000,
GOWA,69.000000,8.000000,40.000000,10.000000,10.000000,8.000000,73.000000,6.000000,27.000000,8.000000,
GRESIK,415.000000,10.000000,39.000000,10.000000,7.000000,7.000000,137.000000,8.000000,29.000000,8.000000,
GROBOGAN,670.000000,10.000000,22.000000,8.000000,99.000000,10.000000,274.000000,9.000000,36.000000,9.000000,
GUNUNG KIDUL,716.000000,10.000000,17.000000,8.000000,10.000000,8.000000,300.000000,9.000000,10.000000,4.000000,
GUNUNG MAS,1.000000,1.000000,0.000000,1.000000,0.000000,1.000000,14.000000,2.000000,1.000000,1.000000,
GUNUNGSITOLI,10.000000,3.000000,13.000000,7.000000,0.000000,1.000000,35.000000,4.000000,11.000000,4.000000,
HALMAHERA BARAT,6.000000,2.000000,1.000000,2.000000,3.000000,5.000000,20.000000,3.000000,6.000000,3.000000,
HALMAHERA SELATAN,10.000000,3.000000,1.000000,2.000000,0.000000,1.000000,16.000000,2.000000,11.000000,4.000000,
HALMAHERA TENGAH,14.000000,4.000000,0.000000,1.000000,4.000000,5.000000,26.000000,3.000000,4.000000,2.000000,
HALMAHERA TIMUR,16.000000,4.000000,1.000000,2.000000,0.000000,1.000000,32.000000,4.000000,14.000000,5.000000,
HALMAHERA UTARA,38.000000,6.000000,1.000000,2.000000,0.000000,1.000000,16.000000,2.000000,10.000000,4.000000,
HULU SUNGAI SELATAN,8.000000,3.000000,7.000000,5.000000,1.000000,3.000000,54.000000,5.000000,5.000000,2.000000,
HULU SUNGAI TENGAH,13.000000,4.000000,18.000000,8.000000,4.000000,5.000000,32.000000,4.000000,3.000000,2.000000,
HULU SUNGAI UTARA,27.000000,5.000000,6.000000,5.000000,4.000000,5.000000,16.000000,2.000000,15.000000,5.000000,
HUMBANG HASUNDUTAN,87.000000,8.000000,3.000000,3.000000,8.000000,7.000000,24.000000,3.000000,10.000000,4.000000,
INDRAGIRI HILIR,49.000000,7.000000,6.000000,5.000000,11.000000,8.000000,176.000000,8.000000,21.000000,7.000000,
INDRAGIRI HULU,29.000000,5.000000,6.000000,5.000000,5.000000,6.000000,124.000000,7.000000,18.000000,6.000000,
INDRAMAYU,173.000000,9.000000,15.000000,7.000000,14.000000,9.000000,90.000000,6.000000,39.000000,9.000000,
INTAN JAYA,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,
JAKARTA BARAT,41.000000,6.000000,27.000000,9.000000,13.000000,8.000000,41.000000,4.000000,18.000000,6.000000,
JAKARTA PUSAT,124.000000,9.000000,20.000000,8.000000,47.000000,10.000000,21.000000,3.000000,23.000000,7.000000,
JAKARTA SELATAN,65.000000,7.000000,31.000000,9.000000,7.000000,7.000000,113.000000,7.000000,18.000000,6.000000,
